pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
DKOE3CTQHYQZ6YYE,Birthdaygiftwala Pen Stand G3 1 Compartments Wooden Pen Stand,,http://www.flipkart.com/birthdaygiftwala-pen-stand-g3-1-compartments-wooden/p/itme3ctpntjakr6t?pid=DKOE3CTQHYQZ6YYE,240,199,No rating available
DKOE4CHENGYZ5PEH,O Teddy Toys 1 Compartments Imported Soft Valvet Pen Stand,,http://www.flipkart.com/o-teddy-toys-1-compartments-imported-soft-valvet-pen-stand/p/itme4che2b83xbya?pid=DKOE4CHENGYZ5PEH,289,189,No rating available
DKOEAPCVX76BTZG2,Hua Jie Classy 1 Compartments Plastic Pen Stand,,http://www.flipkart.com/hua-jie-classy-1-compartments-plastic-pen-stand/p/itmeapcvk5bmkn7g?pid=DKOEAPCVX76BTZG2,300,199,No rating available
DKOEAWE2SCYPC5AW,Disney Stand 3 Compartments Plastic Pen Holder,,http://www.flipkart.com/disney-stand-3-compartments-plastic-pen-holder/p/itmeawe2hhzscggv?pid=DKOEAWE2SCYPC5AW,79,55,No rating available
DKOECHX36VQW47UN,Digimac 3 Compartments Plastic Pen Stand,,http://www.flipkart.com/digimac-3-compartments-plastic-pen-stand/p/itmechx3bzje3sw8?pid=DKOECHX36VQW47UN,330,194,No rating available
DKOECHX3MAQ2GV6Z,Digimac 1 Compartments Plastic Pen Stand,,http://www.flipkart.com/digimac-1-compartments-plastic-pen-stand/p/itmechx3peabthrv?pid=DKOECHX3MAQ2GV6Z,400,246,No rating available
DKOECHX3NXXNMSHA,Digimac 1 Compartments Plastic Pen Stand,,http://www.flipkart.com/digimac-1-compartments-plastic-pen-stand/p/itmechx3xyce2qyj?pid=DKOECHX3NXXNMSHA,326,195,No rating available
DKOECHX3YEHGYMMM,Digimac 1 Compartments Plastic Pen Stand,,http://www.flipkart.com/digimac-1-compartments-plastic-pen-stand/p/itmechx3bnvzvtt5?pid=DKOECHX3YEHGYMMM,400,246,No rating available
DKOEDRRVZXRF3DRW,Sasta 1 Compartments Wooden Pen Holder,,http://www.flipkart.com/sasta-1-compartments-wooden-pen-holder/p/itmedrrvb5f3hdhz?pid=DKOEDRRVZXRF3DRW,300,160,No rating available
DKOEEY6F7TGXSD4X,Purple Circle 3 Compartments Cardboard Pen Stand,,http://www.flipkart.com/purple-circle-3-compartments-cardboard-pen-stand/p/itmeey6f7pcss8rq?pid=DKOEEY6F7TGXSD4X,300,250,No rating available
DKOEGVQFA2Y6ZBE8,Pack N Buy 4 Compartments Plastic Stationary Holder,Pack N Buy,http://www.flipkart.com/pack-n-buy-4-compartments-plastic-stationary-holder/p/itmegvqf4vxjf3us?pid=DKOEGVQFA2Y6ZBE8,850,652,No rating available
DKOEGY7FA4JM94BG,The Crazy Me 1 Compartments Eco-Friendly leatherette Pen Stand,The Crazy Me,http://www.flipkart.com/crazy-me-1-compartments-eco-friendly-leatherette-pen-stand/p/itmegy7ffhwhrtxg?pid=DKOEGY7FA4JM94BG,399,206,No rating available
DREDPSWBYRPGWXJ7,Remanika Women's Dress,,http://www.flipkart.com/remanika-women-s-dress/p/itmdpswbtwyyyf48?pid=DREDPSWBYRPGWXJ7,1600,800,No rating available
DREDQTKGZZBVH68X,Ladybug Women's Dress,,http://www.flipkart.com/ladybug-women-s-dress/p/itmdqtkg8xfmk97v?pid=DREDQTKGZZBVH68X,799,799,No rating available
